category,priority,word_count,hours_taken
Hardware Failure,1,66,61.7
VPN Connection,3,93,3.1
Printer Issue,1,93,1.5
Printer Issue,3,75,4.2
Hardware Failure,2,56,75.1
Printer Issue,2,80,2.7
Hardware Failure,3,91,39.1
Hardware Failure,3,51,26.7
Hardware Failure,1,58,64.1
Software Crash,2,54,9.5
Password Reset,2,37,1.7
VPN Connection,2,29,1.4
Hardware Failure,2,27,26.3
Password Reset,1,14,1.4
Printer Issue,2,76,1.7
Password Reset,3,59,1.0
Printer Issue,1,71,5.4
Printer Issue,2,57,3.5
Software Crash,1,71,7.5
Software Crash,3,8,5.1
VPN Connection,1,17,1.4
Hardware Failure,3,57,28.9
Software Crash,1,21,2.2
VPN Connection,1,76,2.1
VPN Connection,1,40,2.5
Software Crash,2,39,4.2
Software Crash,2,63,2.8
Hardware Failure,2,21,34.6
Hardware Failure,3,59,33.1
Printer Issue,3,51,2.2
Hardware Failure,3,83,55.2
VPN Connection,1,80,1.5
Printer Issue,1,81,2.1
Hardware Failure,1,15,34.8
Software Crash,1,74,5.6
Software Crash,3,32,1.7
Software Crash,2,31,7.6
VPN Connection,2,26,3.6
Password Reset,2,69,2.1
VPN Connection,1,25,3.5
Hardware Failure,2,64,41.7
Software Crash,2,23,2.2
Printer Issue,2,57,5.1
Password Reset,2,90,1.0
Hardware Failure,3,30,48.4
Printer Issue,3,24,3.4
Software Crash,3,52,3.1
Software Crash,1,75,2.8
Hardware Failure,2,79,36.4
Software Crash,3,74,2.4
Software Crash,3,81,4.2
Password Reset,1,66,1.8
Printer Issue,1,25,3.6
Password Reset,3,71,0.5
VPN Connection,1,9,1.6
Password Reset,3,96,1.4
Software Crash,1,5,6.9
Password Reset,1,83,0.9
Password Reset,1,89,0.8
Software Crash,3,28,2.8
Software Crash,2,79,6.0
Software Crash,2,45,7.4
Hardware Failure,2,63,69.7
Password Reset,3,68,1.3
Software Crash,2,98,3.8
Software Crash,3,74,2.3
Password Reset,1,89,2.3
VPN Connection,1,6,1.6
VPN Connection,1,15,3.4
Software Crash,3,58,5.8
Software Crash,1,60,4.5
Hardware Failure,2,7,44.9
Password Reset,2,60,1.9
Printer Issue,2,40,2.0
VPN Connection,1,65,3.4
Password Reset,2,25,1.4
VPN Connection,1,46,2.0
Printer Issue,3,37,1.5
VPN Connection,2,77,1.6
Hardware Failure,2,40,38.2
Printer Issue,2,52,5.1
Software Crash,3,33,2.9
Printer Issue,2,32,3.8
Printer Issue,3,5,2.0
Hardware Failure,2,26,70.4
Printer Issue,3,10,1.7
Password Reset,3,96,0.8
Hardware Failure,3,15,24.1
VPN Connection,3,88,1.7
VPN Connection,3,35,1.8
VPN Connection,3,92,1.8
Printer Issue,3,27,3.3
VPN Connection,2,75,1.3
Password Reset,1,96,2.0
Password Reset,2,43,1.0
Printer Issue,3,70,2.8
VPN Connection,3,51,2.8
Printer Issue,2,82,2.2
VPN Connection,2,21,1.5
Printer Issue,1,51,3.0
Hardware Failure,3,48,21.8
Hardware Failure,2,68,56.9
Password Reset,2,83,0.8
Password Reset,1,14,1.8
Password Reset,3,86,1.1
Printer Issue,1,81,1.8
VPN Connection,2,35,1.9
Hardware Failure,3,21,28.3
Printer Issue,2,80,4.0
Printer Issue,2,66,1.8
Hardware Failure,2,54,42.4
Printer Issue,3,53,1.0
Software Crash,2,69,5.4
Password Reset,3,58,1.2
Printer Issue,1,6,3.5
Software Crash,1,46,2.0
Password Reset,1,82,1.1
Hardware Failure,1,86,74.1
Software Crash,3,69,2.7
VPN Connection,3,48,1.1
Hardware Failure,1,100,62.6
Software Crash,1,43,6.3
Software Crash,2,49,6.5
Password Reset,2,77,1.2
Hardware Failure,2,32,46.7
Password Reset,2,51,1.8
VPN Connection,3,57,1.7
Hardware Failure,2,84,54.2
Printer Issue,2,28,2.5
Software Crash,1,9,4.4
Hardware Failure,1,50,54.6
Password Reset,1,94,2.4
Printer Issue,2,42,4.8
Software Crash,2,30,7.5
Software Crash,3,100,3.8
VPN Connection,1,62,2.2
Hardware Failure,2,15,58.6
Password Reset,3,93,1.6
Password Reset,3,60,1.2
Password Reset,3,77,1.3
VPN Connection,2,92,1.8
Password Reset,3,51,0.8
Software Crash,2,81,8.0
Password Reset,2,38,1.3
Printer Issue,3,23,2.4
Printer Issue,1,37,3.5
Software Crash,2,15,2.9
VPN Connection,3,64,1.0
Hardware Failure,1,90,57.8
Printer Issue,3,38,3.1
Software Crash,3,88,2.2
Hardware Failure,3,15,22.8
Printer Issue,3,59,3.8
Printer Issue,3,26,3.5
Printer Issue,3,74,3.1
Printer Issue,1,35,3.3
Password Reset,1,15,2.0
Software Crash,3,69,5.9
Password Reset,1,21,1.6
Password Reset,2,96,0.7
VPN Connection,3,39,1.6
Password Reset,3,34,1.3
Printer Issue,3,26,2.4
Hardware Failure,3,60,28.9
Password Reset,3,5,1.2
VPN Connection,3,73,1.7
VPN Connection,3,52,1.8
VPN Connection,3,51,2.0
Printer Issue,3,15,3.2
Software Crash,3,6,1.6
Software Crash,2,20,5.2
Software Crash,2,97,4.2
Software Crash,2,29,3.7
VPN Connection,2,61,2.2
VPN Connection,3,91,1.5
Hardware Failure,3,47,37.1
Software Crash,2,73,4.6
Printer Issue,3,20,1.3
VPN Connection,3,61,1.5
Printer Issue,1,23,2.5
Password Reset,1,59,0.7
Hardware Failure,1,51,59.2
Hardware Failure,3,61,33.9
Software Crash,1,11,3.2
Printer Issue,3,47,1.0
VPN Connection,2,32,3.7
Software Crash,1,64,3.6
Software Crash,1,63,2.9
Password Reset,1,80,1.6
VPN Connection,1,21,1.7
Printer Issue,3,8,1.4
Password Reset,2,48,1.4
VPN Connection,2,82,1.3
VPN Connection,1,88,4.5
Hardware Failure,3,42,16.9
Software Crash,1,91,7.3
VPN Connection,3,55,2.4
Password Reset,1,48,1.8
Password Reset,3,20,1.3
Hardware Failure,2,39,60.9
Hardware Failure,2,65,74.4
VPN Connection,1,27,1.8
Hardware Failure,3,85,47.7
Printer Issue,2,86,3.5
Printer Issue,3,32,2.2
Printer Issue,1,7,1.1
Printer Issue,2,91,5.8
Password Reset,2,21,0.6
Password Reset,2,55,1.9
VPN Connection,2,35,2.4
Password Reset,1,65,0.6
Software Crash,2,67,5.0
VPN Connection,2,14,3.4
Software Crash,3,71,3.4
Password Reset,3,23,1.1
Password Reset,1,43,1.8
Password Reset,1,28,1.1
Printer Issue,1,67,2.4
Printer Issue,1,60,5.8
VPN Connection,2,6,1.5
Password Reset,1,43,1.3
Software Crash,2,70,8.6
Printer Issue,3,56,1.1
VPN Connection,1,10,2.1
Hardware Failure,3,34,43.8
VPN Connection,1,70,2.3
VPN Connection,3,47,1.7
Password Reset,2,5,1.3
Hardware Failure,1,68,45.6
Printer Issue,2,92,2.4
Software Crash,3,64,2.5
Hardware Failure,3,58,49.4
Hardware Failure,3,87,40.2
Printer Issue,1,99,5.2
Password Reset,1,96,2.2
VPN Connection,3,57,2.8
Hardware Failure,1,65,39.6
Printer Issue,3,42,1.9
Hardware Failure,2,13,59.1
Password Reset,1,96,2.2
Password Reset,3,19,1.1
Hardware Failure,2,80,62.9
Password Reset,3,87,1.4
Password Reset,2,69,0.7
VPN Connection,2,87,4.0
Printer Issue,3,35,2.6
Printer Issue,3,56,3.5
Printer Issue,1,9,5.0
Printer Issue,3,58,3.4
Password Reset,1,25,1.1
Hardware Failure,3,96,51.0
Password Reset,2,60,2.0
VPN Connection,1,9,2.3
Hardware Failure,1,23,26.3
Hardware Failure,1,27,49.4
Printer Issue,3,70,3.0
Printer Issue,2,52,5.9
VPN Connection,2,18,2.1
Password Reset,3,6,1.3
Password Reset,3,47,0.6
VPN Connection,3,94,1.9
Printer Issue,3,90,1.7
Password Reset,2,51,1.8
VPN Connection,1,16,3.7
Password Reset,1,81,1.9
Printer Issue,2,41,1.4
Password Reset,2,72,1.1
Hardware Failure,2,60,61.6
Password Reset,3,32,1.0
Printer Issue,2,5,4.0
VPN Connection,2,65,1.7
VPN Connection,3,46,2.2
Hardware Failure,1,92,31.3
Printer Issue,2,49,1.8
Printer Issue,3,76,1.6
Printer Issue,3,23,1.1
Software Crash,2,10,5.8
Hardware Failure,3,5,41.5
Password Reset,3,99,0.8
Software Crash,3,95,3.9
VPN Connection,1,77,2.3
Password Reset,3,39,1.3
Hardware Failure,2,56,48.0
Software Crash,1,17,4.9
Software Crash,2,39,3.0
VPN Connection,2,62,2.1
VPN Connection,3,69,2.5
Hardware Failure,3,35,44.9
Printer Issue,3,34,3.2
Hardware Failure,3,50,26.3
Software Crash,3,94,3.6
Password Reset,2,69,1.8
Password Reset,2,71,1.9
VPN Connection,3,37,0.7
Password Reset,3,54,1.1
VPN Connection,3,86,2.6
Password Reset,3,58,1.5
Password Reset,3,94,0.4
VPN Connection,3,38,2.6
Hardware Failure,3,69,50.0
Software Crash,2,55,9.5
VPN Connection,3,38,2.4
Hardware Failure,2,57,48.1
Software Crash,1,78,5.5
Software Crash,2,72,8.9
VPN Connection,3,80,2.9
Hardware Failure,2,74,70.6
Printer Issue,3,90,2.5
Password Reset,2,41,1.3
Password Reset,2,57,1.2
VPN Connection,2,70,1.4
Software Crash,2,73,3.4
Password Reset,3,54,1.1
VPN Connection,3,76,1.6
Software Crash,3,49,1.7
Printer Issue,2,58,1.4
Software Crash,1,29,2.1
VPN Connection,3,37,1.5
Hardware Failure,2,7,45.2
VPN Connection,1,25,1.7
Printer Issue,2,42,2.5
Password Reset,2,19,1.0
Printer Issue,2,23,2.0
Hardware Failure,1,31,30.4
Software Crash,3,96,6.1
Password Reset,1,34,1.0
VPN Connection,1,74,1.4
VPN Connection,2,58,4.3
Software Crash,3,20,5.6
Password Reset,1,75,1.8
VPN Connection,3,80,3.1
Hardware Failure,2,39,53.2
Printer Issue,1,49,1.8
Password Reset,1,76,0.7
Software Crash,3,33,1.9
Printer Issue,1,40,2.8
Hardware Failure,2,8,53.4
Software Crash,3,13,4.9
VPN Connection,2,10,2.6
Password Reset,3,27,0.6
VPN Connection,3,12,1.8
Printer Issue,2,6,1.2
Password Reset,3,19,0.7
Password Reset,3,24,1.1
Hardware Failure,1,84,30.6
VPN Connection,1,69,2.3
VPN Connection,3,50,1.3
Hardware Failure,3,31,21.7
Printer Issue,3,50,2.8
Software Crash,3,34,2.4
Software Crash,3,11,2.6
Hardware Failure,3,69,36.8
Printer Issue,3,94,4.2
Printer Issue,3,68,1.9
VPN Connection,1,39,3.6
Printer Issue,1,24,4.6
Hardware Failure,3,31,26.6
Software Crash,3,85,3.8
Software Crash,3,48,2.3
Printer Issue,1,50,3.2
Password Reset,3,59,0.5
Software Crash,3,38,4.7
Hardware Failure,1,61,67.6
